Date,Open,High,Low,Close,Adj Close,Volume
2002-05-07,73.5,74.9,66.0,69.5,69.5,34859
2002-05-08,70.0,73.95,68.0,68.3,68.3,13561
2002-05-09,66.75,70.0,65.0,65.05,65.05,16000
2002-05-10,68.3,69.0,66.1,68.2,68.2,19611
2002-05-13,71.8,72.0,67.4,68.0,68.0,42219
2002-05-14,69.0,69.9,65.6,67.2,67.2,15557
2002-05-15,67.0,67.95,66.25,67.55,67.55,14326
2002-05-16,66.0,67.0,65.2,65.8,65.8,6236
2002-05-17,61.1,64.0,61.0,62.6,62.6,2335
2002-05-20,59.0,61.4,59.0,60.45,60.45,14318
2002-05-21,58.0,59.0,55.7,56.2,56.2,3014
2002-05-22,53.1,57.0,53.1,56.75,56.75,4850
2002-05-23,56.0,56.25,55.0,55.2,55.2,1850
2002-05-24,57.0,60.0,57.0,59.75,59.75,4275
2002-05-27,60.0,60.0,56.55,57.85,57.85,13160
2002-05-28,57.0,57.0,54.5,55.65,55.65,12151
2002-05-29,55.0,56.5,55.0,55.75,55.75,3410
2002-05-30,55.0,56.5,55.0,55.5,55.5,1990
2002-05-31,59.0,59.0,54.6,55.0,55.0,2841
2002-06-03,52.0,59.25,52.0,58.7,58.7,6627
2002-06-04,55.05,58.8,55.05,58.0,58.0,1395
2002-06-05,59.0,59.3,57.3,59.05,59.05,5417
2002-06-06,57.0,59.75,57.0,57.55,57.55,3606
2002-06-07,59.0,59.0,56.35,57.0,57.0,3500
2002-06-10,57.1,59.65,57.1,58.65,58.65,4481
2002-06-11,58.0,62.0,58.0,60.0,60.0,5620
2002-06-12,60.5,60.9,58.15,59.25,59.25,1733
2002-06-13,59.0,60.5,58.15,58.75,58.75,1230
2002-06-14,60.25,62.8,58.85,60.6,60.6,7293
2002-06-17,60.55,63.15,60.55,61.7,61.7,5292
2002-06-18,64.9,64.9,62.1,62.5,62.5,5212
2002-06-19,61.05,61.95,60.0,60.25,60.25,3337
2002-06-20,60.0,62.75,60.0,62.55,62.55,5733
2002-06-21,64.0,64.0,61.25,61.7,61.7,3950
2002-06-24,61.0,61.45,59.3,61.3,61.3,3279
2002-06-25,62.0,63.0,59.15,60.65,60.65,2715
2002-06-26,53.55,60.45,53.55,59.6,59.6,2147
2002-06-27,60.5,60.75,58.55,59.9,59.9,1320
2002-06-28,60.0,60.7,59.1,59.2,59.2,1115
2002-07-01,59.05,62.45,59.05,61.0,61.0,2130
2002-07-02,62.25,62.4,61.1,61.35,61.35,5931
2002-07-03,62.05,62.5,60.05,61.6,61.6,3319
2002-07-04,62.0,62.8,61.05,62.3,62.3,2710
2002-07-05,62.7,63.75,61.7,63.0,63.0,5730
2002-07-08,62.0,64.45,62.0,63.4,63.4,4752
2002-07-09,63.0,64.9,62.75,63.3,63.3,31270
2002-07-10,61.85,61.85,58.0,58.85,58.85,13450
2002-07-11,56.1,58.75,56.1,58.45,58.45,1460
2002-07-12,62.0,62.0,59.1,59.95,59.95,2350
2002-07-15,60.0,61.75,58.5,60.1,60.1,4890
2002-07-16,58.6,61.3,58.6,59.9,59.9,2422
2002-07-17,53.0,57.9,52.05,56.85,56.85,2075
2002-07-18,55.0,58.0,54.5,57.25,57.25,2675
2002-07-19,56.65,58.65,56.6,58.05,58.05,1300
2002-07-22,57.25,58.0,56.0,56.05,56.05,2105
2002-07-23,54.3,57.3,54.3,57.05,57.05,3902
2002-07-24,57.0,57.8,55.65,57.05,57.05,3350
2002-07-25,57.0,57.0,54.0,54.65,54.65,3710
2002-07-26,58.0,58.0,53.3,54.9,54.9,5029
2002-07-29,47.6,47.9,44.0,47.9,47.9,1670
2002-07-30,47.0,48.75,45.5,48.2,48.2,6467
2002-07-31,47.1,48.5,46.75,47.45,47.45,540
2002-08-01,47.9,50.9,47.9,50.25,50.25,3025
2002-08-02,45.85,51.95,45.85,50.7,50.7,2741
2002-08-05,51.8,54.0,51.0,54.0,54.0,1830
2002-08-06,52.15,52.75,52.15,52.4,52.4,650
2002-08-07,54.1,54.7,52.5,53.55,53.55,2412
2002-08-08,54.0,54.0,52.0,52.4,52.4,1611
2002-08-09,52.5,53.0,51.55,53.0,53.0,3150
2002-08-12,52.0,54.0,52.0,52.0,52.0,1050
